,index,Provider Id,Provider name,Hospital Ownership,Hospital overall rating,BEDS
0,0,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Government,3,420.0
1,8464,10005,MARSHALL MEDICAL CENTER SOUTH,Government,2,150.0
2,10865,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Government,2,328.0
3,18261,10016,SHELBY BAPTIST MEDICAL CENTER,Voluntary(non-profit),3,252.0
4,24661,10023,BAPTIST MEDICAL CENTER SOUTH,Government,3,226.0
5,24662,10023,BAPTIST MEDICAL CENTER SOUTH,Government,3,347.0
6,41589,10033,UNIVERSITY OF ALABAMA HOSPITAL,Government,2,1157.0
7,50998,10040,GADSDEN REGIONAL MEDICAL CENTER,Individual Business,2,279.0
8,57239,10046,RIVERVIEW REGIONAL MEDICAL CENTER,Individual Business,3,35.0
9,57240,10046,RIVERVIEW REGIONAL MEDICAL CENTER,Individual Business,3,281.0
10,69721,10055,FLOWERS HOSPITAL,Individual Business,4,235.0
11,75962,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,Individual Business,3,112.0
12,78363,10090,PROVIDENCE HOSPITAL,Voluntary(non-profit),2,408.0
13,78364,10090,PROVIDENCE HOSPITAL,Voluntary(non-profit),2,258.0
14,78365,10090,PROVIDENCE HOSPITAL,Voluntary(non-profit),2,12.0
15,78366,10090,PROVIDENCE HOSPITAL,Voluntary(non-profit),2,349.0
16,107947,10100,THOMAS HOSPITAL,Government,3,138.0
17,112303,10104,TRINITY MEDICAL CENTER,Individual Business,2,534.0
18,119192,10139,BROOKWOOD MEDICAL CENTER,Individual Business,2,607.0
19,128028,20017,ALASKA REGIONAL HOSPITAL,Individual Business,4,132.0
20,128704,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,Voluntary(non-profit),3,-999.0
21,136804,30007,VERDE VALLEY MEDICAL CENTER,Voluntary(non-profit),5,110.0
22,138485,30012,YAVAPAI REGIONAL MEDICAL CENTER,Government,3,134.0
23,144414,30013,YUMA REGIONAL MEDICAL CENTER,Voluntary(non-profit),3,369.0
24,151983,30023,FLAGSTAFF MEDICAL CENTER,Voluntary(non-profit),4,267.0
25,156339,30061,BANNER BOSWELL MEDICAL CENTER,Voluntary(non-profit),5,418.0
26,165943,30065,BANNER DESERT MEDICAL CENTER,Voluntary(non-profit),4,489.0
27,174224,30069,HAVASU REGIONAL MEDICAL CENTER,Individual Business,2,181.0
28,178985,30089,BANNER THUNDERBIRD MEDICAL CENTER,Government,3,480.0
29,186906,30105,BANNER HEART HOSPITAL,Voluntary(non-profit),5,111.0
30,187690,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,125.0
31,187691,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,375.0
32,187692,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,281.0
33,187693,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,441.0
34,187694,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,454.0
35,187695,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,25.0
36,187696,40010,MERCY MEDICAL CENTER,Voluntary(non-profit),4,-999.0
37,214598,40027,BAXTER REGIONAL MEDICAL CENTER,Voluntary(non-profit),2,268.0
38,221159,40029,CONWAY REGIONAL MEDICAL CENTER,Voluntary(non-profit),2,146.0
39,224759,40071,JEFFERSON REGIONAL MEDICAL CENTER,Voluntary(non-profit),1,471.0
40,224760,40071,JEFFERSON REGIONAL MEDICAL CENTER,Voluntary(non-profit),1,373.0
41,234007,40078,NATIONAL PARK MEDICAL CENTER,Individual Business,2,166.0
42,237488,40118,NEA BAPTIST MEMORIAL HOSPITAL,Voluntary(non-profit),3,-999.0
43,242112,40119,WHITE RIVER MEDICAL CENTER,Voluntary(non-profit),4,199.0
44,247588,40134,ARKANSAS HEART HOSPITAL,Individual Business,4,112.0
45,249437,50006,ST JOSEPH HOSPITAL,Voluntary(non-profit),2,208.0
46,249438,50006,ST JOSEPH HOSPITAL,Voluntary(non-profit),2,51.0
47,249439,50006,ST JOSEPH HOSPITAL,Voluntary(non-profit),2,182.0
48,258185,50017,MERCY GENERAL HOSPITAL,Voluntary(non-profit),3,419.0
49,263961,50026,GROSSMONT HOSPITAL,Government,2,528.0
50,273565,50057,KAWEAH DELTA MEDICAL CENTER,Government,3,403.0
51,281486,50069,ST JOSEPH HOSPITAL,Voluntary(non-profit),3,208.0
52,281487,50069,ST JOSEPH HOSPITAL,Voluntary(non-profit),3,51.0
53,281488,50069,ST JOSEPH HOSPITAL,Voluntary(non-profit),3,182.0
54,297038,50077,SCRIPPS MERCY HOSPITAL,Voluntary(non-profit),3,501.0
55,306642,50107,MARIAN MEDICAL CENTER,Voluntary(non-profit),3,321.0
56,310242,50115,PALOMAR MEDICAL CENTER,Government,3,288.0
57,316642,50128,TRI-CITY MEDICAL CENTER,Government,2,397.0
58,322267,50133,RIDEOUT MEMORIAL HOSPITAL,Voluntary(non-profit),1,173.0
59,329663,50485,LONG BEACH MEMORIAL MEDICAL CENTER,Voluntary(non-profit),4,458.0
60,337584,50197,SEQUOIA HOSPITAL,Voluntary(non-profit),5,208.0
61,340185,50222,SHARP CHULA VISTA MEDICAL CENTER,Individual Business,5,343.0
62,346426,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Voluntary(non-profit),4,443.0
63,353995,50225,FEATHER RIVER HOSPITAL,Voluntary(non-profit),4,100.0
64,357020,50232,FRENCH HOSPITAL MEDICAL CENTER,Voluntary(non-profit),4,103.0
65,358956,50243,DESERT REGIONAL MEDICAL CENTER,Individual Business,1,385.0
66,363997,50262,RONALD REAGAN UCLA MEDICAL CENTER,Government,3,466.0
67,368758,50291,SUTTER MEDICAL CENTER OF SANTA ROSA,Voluntary(non-profit),4,115.0
68,369719,50295,MERCY HOSPITAL,Voluntary(non-profit),2,473.0
69,369720,50295,MERCY HOSPITAL,Voluntary(non-profit),2,230.0
70,369721,50295,MERCY HOSPITAL,Voluntary(non-profit),2,21.0
