,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Hospital Referral Region Description,Provider Zip Code, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments,Latitude,Longitude
0,50242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,CA - Santa Cruz,95065.0,80.2,51512.87,7728.395999999999,6778.358,36.9901663,-121.9836669
1,70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,CT - Hartford,6040.0,65.0,15298.872,5626.37,4541.624000000001,41.7819971,-72.5255243
2,100061,MERCY HOSPITAL INC,3663 S MIAMI AVE,MIAMI,FL,FL - Miami,33133.0,51.0,27009.088,6162.032000000001,5274.697999999999,25.7400472,-80.2138245
3,100062,MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,FL,FL - Ocala,34474.0,122.4,20394.178,4521.346,3672.46,29.1751787,-82.1389001
4,100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,FL,FL - Miami,33143.0,55.5,34235.1575,7299.2775,6638.3525,25.7055392,-80.2931475
5,100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,FL - Miami,33134.0,73.0,54073.056,6851.5740000000005,5933.33,25.7434206,-80.25473989999999
6,100187,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,HIALEAH,FL,FL - Miami,33016.0,78.4,48297.04,6982.092,6194.226,25.8857117,-80.3264392
7,100314,WEST KENDALL BAPTIST HOSPITAL,9555 SW 162 AVE,MIAMI,FL,FL - Miami,33196.0,20.5,43364.0625,6754.78,4052.445,25.6785523,-80.4559629
8,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,AL - Dothan,36301.0,120.2,21030.004,4973.186,3789.112,31.215884,-85.3630079
9,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,AL - Birmingham,35957.0,54.0,11745.653999999999,5380.642000000001,3912.55,34.22159,-86.160495
10,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,AL - Birmingham,35631.0,100.6,19858.93,4611.562,3591.8119999999994,34.7939615,-87.6826906
11,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,AL - Dothan,36467.0,44.2,9691.401999999998,4350.6,3664.464,31.2919852,-86.2542062
12,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,AL - Montgomery,36049.0,19.5,16290.6425,5911.1275,4998.5575,31.6933529,-86.2650941
13,10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,AL - Huntsville,35976.0,59.4,9955.6,4372.772,3431.9659999999994,34.3648157,-86.4215569
14,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,AL - Birmingham,35235.0,84.6,17265.604,4668.629999999999,3780.518,33.596457,-86.6676502
15,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,AL - Birmingham,35968.0,41.4,19910.344,4408.338,3507.964,34.4419753,-85.7550138
16,10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,AL - Mobile,36784.0,14.75,6109.254999999999,5083.2925,4406.7925,31.9306391,-87.7363048
17,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,AL - Birmingham,35007.0,69.0,25419.934,4713.634,3820.6979999999994,33.2524139,-86.8130445
