,Latitude,Longitude,location
0,31.215884,-85.3630079,"1108 ROSS CLARK CIRCLE, DOTHAN, AL"
1,34.22159,-86.160495,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL"
2,34.7939615,-87.6826906,"205 MARENGO STREET, FLORENCE, AL"
3,33.2524139,-86.8130445,"1000 FIRST STREET NORTH, ALABASTER, AL"
4,32.3269463,-86.2710335,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL"
5,33.5056591,-86.8020205,"619 SOUTH 19TH STREET, BIRMINGHAM, AL"
6,34.0074022,-85.96757190000001,"1007 GOODYEAR AVENUE, GADSDEN, AL"
7,34.004403,-86.003626,"600 SOUTH THIRD STREET, GADSDEN, AL"
8,31.23790679999999,-85.45675700000001,"4370 WEST MAIN STREET, DOTHAN, AL"
9,30.4260938,-87.6843079,"1613 NORTH MCKENZIE STREET, FOLEY, AL"
10,30.6782817,-88.1985523,"6801 AIRPORT BOULEVARD, MOBILE, AL"
11,38.9437638,-76.99157310000001,"1150 VARNUM ST NE, WASHINGTON, DC"
12,30.5190265,-87.8883067,"750 MORPHY AVENUE, FAIRHOPE, AL"
13,33.5163586,-86.7483395,"800 MONTCLAIR RD, BIRMINGHAM, AL"
14,30.145807,-96.39925099999999,"700 MEDICAL PARKWAY, BRENHAM, TX"
15,33.46347280000001,-86.7766851,"2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL"
16,61.2106931,-149.8287333,"2801 DEBARR ROAD, ANCHORAGE, AK"
17,33.4649409,-112.0579588,"1111 EAST MCDOWELL ROAD, PHOENIX, AZ"
18,34.7357288,-112.029221,"269 SOUTH CANDY LANE, COTTONWOOD, AZ"
19,34.5593433,-112.4811126,"1003 WILLOW CREEK ROAD, PRESCOTT, AZ"
20,32.6823988,-114.634916,"2400 SOUTH AVENUE A, YUMA, AZ"
21,35.2090049,-111.6439073,"1200 NORTH BEAVER STREET, FLAGSTAFF, AZ"
22,33.6036767,-112.2842231,"10401 WEST THUNDERBIRD BOULEVARD, SUN CITY, AZ"
23,33.3899544,-111.8770411,"1400 SOUTH  DOBSON ROAD, MESA, AZ"
24,34.4803821,-114.3388668,"101 CIVIC CENTER LANE, LAKE HAVASU CIT, AZ"
25,33.6091941,-112.1795844,"5555 WEST THUNDERBIRD ROAD, GLENDALE, AZ"
26,33.4112307,-111.6868295,"6750 EAST BAYWOOD AVENUE, MESA, AZ"
27,36.3088478,-94.1828963,"2710 RIFE MEDICAL LANE, ROGERS, AR"
28,40.8121341,-81.3962689,"1320 MERCY DRIVE NW, CANTON, OH"
29,37.3401411,-120.4671866,"333 MERCY AVENUE, MERCED, CA"
30,42.1144919,-72.5933409,"271 CAREW STREET, SPRINGFIELD, MA"
31,40.6859597,-73.6334305,"1000 NORTH VILLAGE AVENUE, ROCKVILLE CENTR, NY"
32,36.3429502,-92.3944185,"624 HOSPITAL DRIVE, MOUNTAIN HOME, AR"
33,35.0859847,-92.4576613,"2302 COLLEGE AVENUE, CONWAY, AR"
34,34.188636,-92.0176764,"1600 WEST 40TH AVENUE, PINE BLUFF, AR"
35,40.3184396,-79.9334877,"565 COAL VALLEY RD, PITTSBURGH, PA"
36,38.2217906,-90.3841447,"HWY 61 SOUTH, CRYSTAL CITY, MO"
37,34.486004,-93.03521099999999,"1910 MALVERN AVENUE, HOT SPRINGS, AR"
38,35.8083116,-90.6660236,"3024 STADIUM BOULEVARD, JONESBORO, AR"
39,35.7676697,-91.6343327,"1710 HARRISON STREET, BATESVILLE, AR"
40,34.7390675,-92.39330609999999,"1701 S SHACKLEFORD ROAD, LITTLE ROCK, AR"
41,40.7840157,-124.1423786,"2700 DOLBEER ST, EUREKA, CA"
42,33.7820441,-117.8654245,"1100 WEST STEWART DR, ORANGE, CA"
43,42.7493836,-71.4803099,"172 KINSLEY ST, NASHUA, NH"
44,44.814048,-68.77248589999999,"360 BROADWAY, BANGOR, ME"
45,40.72732209999999,-73.47887899999999,"4295 HEMPSTEAD TURNPIKE, BETHPAGE, NY"
46,41.0781264,-85.1493375,"700 BROADWAY, FORT WAYNE, IN"
47,38.5698181,-121.4536648,"4001 J ST, SACRAMENTO, CA"
48,0.0,0.0,"5555 GROSSMONT CENTER DRIVE BOX 58, LA MESA, CA"
49,36.328572,-119.2949582,"400 W MINERAL KING AVE, VISALIA, CA"
50,32.7515656,-117.16039,"4077 5TH AVE, SAN DIEGO, CA"
51,34.9509201,-120.4131853,"1400 E CHURCH ST, SANTA MARIA, CA"
52,33.1248595,-117.0758226,"555 E VALLEY PARKWAY, ESCONDIDO, CA"
53,33.1856484,-117.2904359,"4002 VISTA WAY, OCEANSIDE, CA"
54,39.138174,-121.5942279,"726 4TH ST, MARYSVILLE, CA"
55,33.8083605,-118.1873236,"2801 ATLANTIC AVE, LONG BEACH, CA"
56,37.479843,-122.2546654,"170 ALAMEDA DE LAS PULGAS, REDWOOD CITY, CA"
57,32.6188834,-117.0226353,"751 MEDICAL CENTER COURT, CHULA VISTA, CA"
58,33.6247428,-117.9300468,"ONE HOAG DRIVE, NEWPORT BEACH, CA"
