,Provider Id,Provider Zip Code, Average Covered Charges , Average Total Payments ,Average Medicare Payments,Hospital overall rating,BEDS,Cost,Provider Name,Provider Street Address,Provider City,Provider State,Hospital Type,Hospital Ownership,Location,Latitude,Longitude
0,10001,36301.0,35247.02815217392,8749.025108695649,7678.214347826088,3,420.0,1070.8107608695652,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,Acute Care Hospitals,Government,"1108 ROSS CLARK CIRCLE, DOTHAN, AL",31.215884,-85.3630079
1,10005,35957.0,16451.092040816326,6812.131224489795,5793.631428571429,2,150.0,1018.4997959183678,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,Acute Care Hospitals,Government,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL",34.22159,-86.160495
2,10006,35631.0,36942.35744186048,8197.237906976745,7145.959534883726,2,328.0,1051.2783720930229,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,Acute Care Hospitals,Government,"205 MARENGO STREET, FLORENCE, AL",34.7939615,-87.6826906
3,10007,36467.0,12079.536818181818,4860.829090909092,4047.0254545454545,2,99.0,813.8036363636364,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,Acute Care Hospitals,Voluntary(non-profit),"702 N MAIN ST, OPP, AL",31.2919852,-86.2542062
4,10008,36049.0,16148.752222222225,5898.136666666666,4963.547777777778,4,49.0,934.5888888888888,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,Acute Care Hospitals,Individual Business,"101 HOSPITAL CIRCLE, LUVERNE, AL",31.6933529,-86.2650941
5,10012,35968.0,31654.494848484846,6038.119696969697,5095.807575757575,3,134.0,942.3121212121212,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,Acute Care Hospitals,Individual Business,"200 MED CENTER DRIVE, FORT PAYNE, AL",34.4419753,-85.7550138
6,10016,35007.0,39728.13025000001,7789.416249999999,6563.419,3,252.0,1225.99725,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,Acute Care Hospitals,Voluntary(non-profit),"1000 FIRST STREET NORTH, ALABASTER, AL",33.2524139,-86.8130445
7,10019,35660.0,15615.826129032259,6350.75193548387,5462.8075806451625,3,166.0,887.9443548387098,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,Acute Care Hospitals,Government,"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL",34.7464821,-87.69891109999999
8,10021,36360.0,13649.648333333333,7607.579999999998,6830.735555555557,4,89.0,776.8444444444444,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,Acute Care Hospitals,Government,"126 HOSPITAL AVE, OZARK, AL",31.451328,-85.632075
9,10022,35960.0,16261.817000000001,5855.472,4944.541000000001,4,60.0,910.9310000000002,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,Acute Care Hospitals,Voluntary(non-profit),"400 NORTHWOOD DR, CENTRE, AL",34.1622301,-85.65136439999999
