,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),State-County (FIPS)
0,10,00,000,0,0,0,United States,00000
1,40,01,000,0,0,0,Alabama,01000
2,50,01,001,0,0,0,Autauga County,01001
3,50,01,003,0,0,0,Baldwin County,01003
4,50,01,005,0,0,0,Barbour County,01005
5,50,01,007,0,0,0,Bibb County,01007
6,50,01,009,0,0,0,Blount County,01009
7,50,01,011,0,0,0,Bullock County,01011
8,50,01,013,0,0,0,Butler County,01013
9,50,01,015,0,0,0,Calhoun County,01015
10,50,01,017,0,0,0,Chambers County,01017
11,50,01,019,0,0,0,Cherokee County,01019
12,50,01,021,0,0,0,Chilton County,01021
13,50,01,023,0,0,0,Choctaw County,01023
14,50,01,025,0,0,0,Clarke County,01025
15,50,01,027,0,0,0,Clay County,01027
16,50,01,029,0,0,0,Cleburne County,01029
17,50,01,031,0,0,0,Coffee County,01031
18,50,01,033,0,0,0,Colbert County,01033
19,50,01,035,0,0,0,Conecuh County,01035
20,50,01,037,0,0,0,Coosa County,01037
21,50,01,039,0,0,0,Covington County,01039
22,50,01,041,0,0,0,Crenshaw County,01041
23,50,01,043,0,0,0,Cullman County,01043
24,50,01,045,0,0,0,Dale County,01045
25,50,01,047,0,0,0,Dallas County,01047
26,50,01,049,0,0,0,DeKalb County,01049
27,50,01,051,0,0,0,Elmore County,01051
28,50,01,053,0,0,0,Escambia County,01053
29,50,01,055,0,0,0,Etowah County,01055
30,50,01,057,0,0,0,Fayette County,01057
31,50,01,059,0,0,0,Franklin County,01059
32,50,01,061,0,0,0,Geneva County,01061
33,50,01,063,0,0,0,Greene County,01063
34,50,01,065,0,0,0,Hale County,01065
35,50,01,067,0,0,0,Henry County,01067
36,50,01,069,0,0,0,Houston County,01069
37,50,01,071,0,0,0,Jackson County,01071
38,50,01,073,0,0,0,Jefferson County,01073
39,50,01,075,0,0,0,Lamar County,01075
40,50,01,077,0,0,0,Lauderdale County,01077
41,50,01,079,0,0,0,Lawrence County,01079
42,50,01,081,0,0,0,Lee County,01081
43,50,01,083,0,0,0,Limestone County,01083
44,50,01,085,0,0,0,Lowndes County,01085
45,50,01,087,0,0,0,Macon County,01087
46,50,01,089,0,0,0,Madison County,01089
47,50,01,091,0,0,0,Marengo County,01091
48,50,01,093,0,0,0,Marion County,01093
49,50,01,095,0,0,0,Marshall County,01095
50,50,01,097,0,0,0,Mobile County,01097
51,50,01,099,0,0,0,Monroe County,01099
52,50,01,101,0,0,0,Montgomery County,01101
53,50,01,103,0,0,0,Morgan County,01103
54,50,01,105,0,0,0,Perry County,01105
55,50,01,107,0,0,0,Pickens County,01107
56,50,01,109,0,0,0,Pike County,01109
57,50,01,111,0,0,0,Randolph County,01111
58,50,01,113,0,0,0,Russell County,01113
59,50,01,115,0,0,0,St. Clair County,01115
60,50,01,117,0,0,0,Shelby County,01117
61,50,01,119,0,0,0,Sumter County,01119
62,50,01,121,0,0,0,Talladega County,01121
63,50,01,123,0,0,0,Tallapoosa County,01123
64,50,01,125,0,0,0,Tuscaloosa County,01125
65,50,01,127,0,0,0,Walker County,01127
66,50,01,129,0,0,0,Washington County,01129
67,50,01,131,0,0,0,Wilcox County,01131
68,50,01,133,0,0,0,Winston County,01133
